idx,leg,waypoint,lat,lon,cum_m
1,A_start->B_cp1,A_start,48.9787,2.37421,0.0
2,A_start->B_cp1,,48.97887,2.374297,20.0
3,A_start->B_cp1,,48.979041,2.374383,40.0
4,A_start->B_cp1,,48.979211,2.37447,60.0
5,A_start->B_cp1,,48.979382,2.374556,80.0
6,A_start->B_cp1,,48.979552,2.374643,100.0
7,A_start->B_cp1,,48.979722,2.374729,119.9
8,A_start->B_cp1,,48.979893,2.374815,139.9
9,B_cp1->C_cp2,B_cp1,48.980063,2.374902,159.9
10,B_cp1->C_cp2,,48.980101,2.374633,180.0
11,B_cp1->C_cp2,,48.980138,2.374364,200.2
12,B_cp1->C_cp2,,48.980176,2.374094,220.3
13,B_cp1->C_cp2,,48.980214,2.373825,240.4
14,B_cp1->C_cp2,,48.980252,2.373556,260.5
15,B_cp1->C_cp2,,48.980289,2.373287,280.6
16,B_cp1->C_cp2,,48.980327,2.373018,300.7
17,B_cp1->C_cp2,,48.980365,2.372748,320.8
18,B_cp1->C_cp2,,48.980402,2.372479,340.9
19,C_cp2->D_cp3,C_cp2,48.98044,2.37221,361.0
20,C_cp2->D_cp3,,48.980259,2.372139,381.8
21,C_cp2->D_cp3,,48.980079,2.372069,402.6
22,C_cp2->D_cp3,,48.979898,2.371998,423.3
23,C_cp2->D_cp3,,48.979717,2.371928,444.1
24,C_cp2->D_cp3,,48.979537,2.371857,464.8
25,C_cp2->D_cp3,,48.979356,2.371787,485.6
26,C_cp2->D_cp3,,48.979176,2.371716,506.3
27,C_cp2->D_cp3,,48.978995,2.371646,527.1
28,C_cp2->D_cp3,,48.978814,2.371575,547.9
29,C_cp2->D_cp3,,48.978634,2.371505,568.6
30,D_cp3->E_cp4,D_cp3,48.978453,2.371434,589.4
31,D_cp3->E_cp4,,48.978419,2.371691,608.6
32,D_cp3->E_cp4,,48.978384,2.371949,627.8
33,D_cp3->E_cp4,,48.97835,2.372206,646.9
34,D_cp3->E_cp4,,48.978316,2.372463,666.1
35,D_cp3->E_cp4,,48.978282,2.37272,685.3
36,D_cp3->E_cp4,,48.978247,2.372978,704.5
37,D_cp3->E_cp4,,48.978213,2.373235,723.7
38,D_cp3->E_cp4,,48.978179,2.373492,742.9
39,D_cp3->E_cp4,,48.978144,2.37375,762.0
40,E_cp4->A_start,E_cp4,48.97811,2.374007,781.2
41,E_cp4->A_start,,48.978307,2.374075,803.7
42,E_cp4->A_start,,48.978503,2.374142,826.1
